date,fuel_index,Year,Month
2017-09-01,68.95,2017,9
2017-10-01,71.63,2017,10
2017-11-01,75.02,2017,11
2017-12-01,76.61,2017,12
2018-01-01,75.66,2018,1
2018-02-01,75.26,2018,2
2018-03-01,74.42,2018,3
2018-04-01,78.04,2018,4
2018-05-01,81.13,2018,5
2018-06-01,81.72,2018,6
2018-07-01,80.11,2018,7
2018-08-01,80.09,2018,8
2018-09-01,84.23,2018,9
2018-10-01,86.96,2018,10
2018-11-01,77.58,2018,11
2018-12-01,73.74,2018,12
2019-01-01,69.28,2019,1
2019-02-01,72.24,2019,2
2019-03-01,75.99,2019,3
2019-04-01,80.29,2019,4
2019-05-01,81.65,2019,5
2019-06-01,77.78,2019,6
2019-07-01,78.03,2019,7
2019-08-01,77.33,2019,8
2019-09-01,79.47,2019,9
2019-10-01,82.59,2019,10
2019-11-01,80.93,2019,11
2019-12-01,81.72,2019,12
2020-01-01,81.14,2020,1
2020-02-01,78.38,2020,2
2020-03-01,71.06,2020,3
2020-04-01,59.74,2020,4
2020-05-01,60.3,2020,5
2020-06-01,65.81,2020,6
2020-07-01,68.13,2020,7
2020-08-01,67.42,2020,8
2020-09-01,67.84,2020,9
2020-10-01,67.58,2020,10
2020-11-01,66.89,2020,11
2020-12-01,69.96,2020,12
2021-01-01,71.14,2021,1
2021-02-01,73.02,2021,2
2021-03-01,78.13,2021,3
2021-04-01,79.41,2021,4
2021-05-01,78.81,2021,5
2021-06-01,78.58,2021,6
2021-07-01,84.17,2021,7
2021-08-01,83.65,2021,8
2021-09-01,85.82,2021,9
2021-10-01,90.44,2021,10
2021-11-01,91.61,2021,11
2021-12-01,88.55,2021,12
2022-01-01,92.35,2022,1
2022-02-01,97.83,2022,2
2022-03-01,110.04,2022,3
2022-04-01,94.88,2022,4
2022-05-01,105.36,2022,5
2022-06-01,112.57,2022,6
2022-07-01,108.74,2022,7
2022-08-01,96.18,2022,8
2022-09-01,94.49,2022,9
2022-10-01,101.17,2022,10
2022-11-01,106.82,2022,11
2022-12-01,98.13,2022,12
2023-01-01,99.21,2023,1
2023-02-01,103.25,2023,2
2023-03-01,100.98,2023,3
2023-04-01,103.88,2023,4
2023-05-01,96.92,2023,5
2023-06-01,100.67,2023,6
2023-07-01,100.42,2023,7
2023-08-01,109.56,2023,8
2023-09-01,113.17,2023,9
2023-10-01,109.82,2023,10
2023-11-01,109.31,2023,11
2023-12-01,103.29,2023,12
2024-01-01,102.32,2024,1
2024-02-01,107.59,2024,2
2024-03-01,109.22,2024,3
2024-04-01,111.64,2024,4
2024-05-01,105.94,2024,5
2024-06-01,107.26,2024,6
2024-07-01,104.49,2024,7
2024-08-01,101.24,2024,8
2024-09-01,97.25,2024,9
2024-10-01,97.21,2024,10
2024-11-01,98.09,2024,11
2024-12-01,101.81,2024,12
2025-01-01,100.4,2025,1
2025-02-01,101.62,2025,2
2025-03-01,100.84,2025,3
2025-04-01,98.28,2025,4
2025-05-01,95.34,2025,5
2025-06-01,98.75,2025,6
2025-07-01,98.75,2025,7
2025-08-01,99.49,2025,8
2025-09-01,100,2025,9
2025-10-01,99.1,2025,10
2025-11-01,101.55,2025,11
2025-12-01,101,2025,12
2026-01-01,97.72,2026,1
2026-02-01,94.35,2026,2
2026-03-01,125.29,2026,3
2026-04-01,116.53,2026,4
