Year,Day_of_week,avg_daily,peak,pct_of_peak
2019,Friday,768781.25,768781.25,100
2019,Monday,740490.625,740490.625,100
2019,Saturday,376329.1666666667,376329.1666666667,100
2019,Sunday,272550,272550,100
2019,Thursday,800373.5294117647,800373.5294117647,100
2019,Tuesday,769844.1176470588,769844.1176470588,100
2019,Wednesday,787473.5294117647,787473.5294117647,100
2025,Friday,542121.875,768781.25,70.5
2025,Monday,502206.25,740490.625,67.8
2025,Saturday,337481.8181818182,376329.1666666667,89.7
2025,Sunday,240240.9090909091,272550,88.1
2025,Thursday,606970.5882352941,800373.5294117647,75.8
2025,Tuesday,579115.625,769844.1176470588,75.2
2025,Wednesday,572416.6666666666,787473.5294117647,72.7
