Year,Mode,Mode_label,avg_daily,peak,pct_of_peak
2018,MetroBus,Metro Bus,433827.5862068966,443139.4736842105,97.89865538271823
2018,MetroTrain,Metro Train,797051.724137931,812664.0350877193,98.07887266130793
2018,RegionalBus,Regional Bus,39091.379310344826,40727.19298245614,95.9834853513819
2018,RegionalTrain,Regional Train,56592.24137931035,58906.14035087719,96.07188833322978
2018,Tram,Tram,662978.448275862,634151.754385965,104.54570908154457
2019,MetroBus,Metro Bus,443139.4736842105,443139.4736842105,100
2019,MetroTrain,Metro Train,812664.0350877193,812664.0350877193,100
2019,RegionalBus,Regional Bus,40727.19298245614,40727.19298245614,100
2019,RegionalTrain,Regional Train,58906.14035087719,58906.14035087719,100
2019,Tram,Tram,634151.754385965,634151.754385965,100
2020,MetroBus,Metro Bus,199318.10344827583,443139.4736842105,44.978638845049865
2020,MetroTrain,Metro Train,283427.5862068966,812664.0350877193,34.87635406140537
2020,RegionalBus,Regional Bus,24666.37931034483,40727.19298245614,60.56488921534624
2020,RegionalTrain,Regional Train,22015.517241379315,58906.14035087719,37.37389194104868
2020,Tram,Tram,194281.89655172417,634151.754385965,30.63649910419991
2021,MetroBus,Metro Bus,211555.26315789472,443139.4736842105,47.74010796173238
2021,MetroTrain,Metro Train,283103.5087719298,812664.0350877193,34.83647565889531
2021,RegionalBus,Regional Bus,25071.052631578947,40727.19298245614,61.55850869068901
2021,RegionalTrain,Regional Train,23211.403508771928,58906.14035087719,39.404047473679505
2021,Tram,Tram,219678.07017543857,634151.754385965,34.6412461459084
2022,MetroBus,Metro Bus,305320.53571428574,443139.4736842105,68.89942193050102
2022,MetroTrain,Metro Train,438543.75,812664.0350877193,53.96372068473085
2022,RegionalBus,Regional Bus,35233.03571428572,40727.19298245614,86.50985529364345
2022,RegionalTrain,Regional Train,36709.82142857143,58906.14035087719,62.31917625209809
2022,Tram,Tram,393141.0714285715,634151.754385965,61.994793629364196
2023,MetroBus,Metro Bus,376464.0350877193,443139.4736842105,84.95384804198117
2023,MetroTrain,Metro Train,541642.1052631579,812664.0350877193,66.65018776236268
2023,RegionalBus,Regional Bus,40203.508771929824,40727.19298245614,98.71416571539339
2023,RegionalTrain,Regional Train,48947.36842105263,58906.14035087719,83.09383050645542
2023,Tram,Tram,457666.6666666666,634151.754385965,72.16989679541534
2024,MetroBus,Metro Bus,397486.84210526315,443139.4736842105,89.69790905797748
2024,MetroTrain,Metro Train,591757.8947368421,812664.0350877193,72.81703990665312
2024,RegionalBus,Regional Bus,37881.57894736842,40727.19298245614,93.01298757242242
2024,RegionalTrain,Regional Train,59613.15789473684,58906.14035087719,101.20024421842658
2024,Tram,Tram,499138.5964912281,634151.754385965,78.709645292164
2025,MetroBus,Metro Bus,385507.7586206897,443139.4736842105,86.99467808986245
2025,MetroTrain,Metro Train,586487.0689655172,812664.0350877193,72.16845383125778
2025,RegionalBus,Regional Bus,34060.34482758621,40727.19298245614,83.63047471073743
2025,RegionalTrain,Regional Train,62918.96551724138,58906.14035087719,106.81223577450771
2025,Tram,Tram,461518.9655172414,634151.754385965,72.77736950584011
2026,MetroBus,Metro Bus,345916.6666666667,443139.4736842105,78.06044986034654
2026,MetroTrain,Metro Train,565383.3333333334,812664.0350877193,69.57159526227905
2026,RegionalBus,Regional Bus,32350,40727.19298245614,79.4309590988391
2026,RegionalTrain,Regional Train,59083.333333333336,58906.14035087719,100.30080562298036
